Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyRate,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,NumCompaniesWorked_log,YearsInCurrentRole_log,YearsWithCurrManager_log,YearsAtCompany_log,MonthlyIncome_log,StockOptionLevel_log,TrainingTimesLastYear_sqrt,PerformanceRating_sqrt,YearsSinceLastPromotion_sqrt,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
41.0,1,2,1102.0,1.0,2.0,1.0,1.0,2.0,0,94.0,3.0,2.0,4.0,2,19479.0,0,1,11.0,1.0,80.0,8.0,1.0,2.1972245773362196,1.6094379124341003,1.791759469228055,1.9459101490553132,8.69851424787661,0.0,0.0,1.7320508075688772,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
37.0,1,2,1373.0,2.0,2.0,1.0,4.0,4.0,1,92.0,2.0,1.0,3.0,2,2396.0,0,1,15.0,2.0,80.0,7.0,3.0,1.9459101490553132,0.0,0.0,0.0,7.645397699428633,0.0,1.7320508075688772,1.7320508075688772,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
33.0,0,1,1392.0,3.0,4.0,1.0,5.0,4.0,0,56.0,3.0,1.0,3.0,1,23159.0,0,1,11.0,3.0,80.0,8.0,3.0,0.6931471805599453,2.0794415416798357,0.0,2.1972245773362196,7.975908360165538,0.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27.0,0,2,591.0,2.0,1.0,1.0,7.0,1.0,1,40.0,3.0,1.0,2.0,1,16632.0,0,0,12.0,4.0,80.0,6.0,3.0,2.302585092994046,1.0986122886681096,1.0986122886681096,1.0986122886681096,8.15162164696975,0.6931471805599453,1.7320508075688772,1.7320508075688772,1.4142135623730951,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32.0,0,1,1005.0,2.0,2.0,1.0,8.0,4.0,1,79.0,3.0,1.0,4.0,2,11864.0,0,0,13.0,3.0,80.0,8.0,2.0,0.0,2.0794415416798357,1.9459101490553132,2.0794415416798357,8.029107054619736,0.0,1.4142135623730951,1.7320508075688772,1.7320508075688772,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59.0,0,2,1324.0,3.0,3.0,1.0,10.0,3.0,0,81.0,4.0,1.0,1.0,1,9964.0,0,1,20.0,1.0,80.0,12.0,2.0,1.6094379124341003,0.0,0.0,0.6931471805599453,7.890208213109961,1.3862943611198906,1.7320508075688772,2.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
30.0,0,2,1358.0,24.0,1.0,1.0,11.0,4.0,1,67.0,3.0,1.0,3.0,0,13335.0,0,0,22.0,2.0,80.0,1.0,3.0,0.6931471805599453,0.0,0.0,0.6931471805599453,7.898782356970309,0.6931471805599453,1.4142135623730951,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38.0,0,1,216.0,23.0,3.0,1.0,12.0,4.0,1,44.0,2.0,3.0,3.0,2,8787.0,0,0,21.0,2.0,80.0,10.0,3.0,0.0,2.0794415416798357,2.1972245773362196,2.302585092994046,9.161885151706779,0.0,1.4142135623730951,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36.0,0,2,1299.0,27.0,3.0,1.0,13.0,3.0,1,94.0,3.0,2.0,3.0,1,16577.0,0,0,13.0,2.0,80.0,17.0,2.0,1.9459101490553132,2.0794415416798357,2.0794415416798357,2.0794415416798357,8.563695025067657,1.0986122886681096,1.7320508075688772,1.7320508075688772,2.6457513110645907,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35.0,0,2,809.0,16.0,3.0,1.0,14.0,1.0,1,84.0,4.0,1.0,2.0,1,16479.0,0,0,13.0,3.0,80.0,6.0,3.0,0.0,1.6094379124341003,1.3862943611198906,1.791759469228055,7.794411205726601,0.6931471805599453,2.23606797749979,1.7320508075688772,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29.0,0,2,153.0,15.0,2.0,1.0,15.0,4.0,0,49.0,2.0,2.0,3.0,2,12682.0,0,1,12.0,4.0,80.0,10.0,3.0,0.0,1.791759469228055,2.1972245773362196,2.302585092994046,8.341410211461865,0.0,1.7320508075688772,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31.0,0,2,670.0,26.0,1.0,1.0,16.0,1.0,1,31.0,3.0,1.0,3.0,0,15170.0,0,0,17.0,4.0,80.0,5.0,2.0,0.6931471805599453,1.0986122886681096,1.3862943611198906,1.791759469228055,7.976595409316577,0.6931471805599453,1.0,1.7320508075688772,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34.0,0,2,1346.0,19.0,2.0,1.0,18.0,2.0,1,93.0,3.0,1.0,4.0,0,8758.0,0,0,11.0,3.0,80.0,3.0,3.0,0.0,1.0986122886681096,1.0986122886681096,1.0986122886681096,7.886832998955057,0.6931471805599453,1.4142135623730951,1.7320508075688772,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28.0,1,2,103.0,24.0,3.0,1.0,19.0,3.0,1,50.0,2.0,1.0,3.0,2,12947.0,0,1,14.0,2.0,80.0,6.0,3.0,1.791759469228055,1.0986122886681096,1.3862943611198906,1.6094379124341003,7.615298339825815,0.0,2.0,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
29.0,0,2,1389.0,21.0,4.0,1.0,20.0,2.0,0,51.0,4.0,3.0,1.0,0,10195.0,0,0,11.0,3.0,80.0,10.0,3.0,0.6931471805599453,2.302585092994046,2.1972245773362196,2.3978952727983707,9.208438564686587,0.6931471805599453,1.0,1.7320508075688772,2.8284271247461903,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
