Age;Attrition;BusinessTravel;DailyRate;DistanceFromHome;Education;EmployeeCount;EmployeeNumber;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobSatisfaction;MaritalStatus;MonthlyRate;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;TotalWorkingYears;WorkLifeBalance;NumCompaniesWorked_log;YearsInCurrentRole_log;YearsWithCurrManager_log;YearsAtCompany_log;MonthlyIncome_log;StockOptionLevel_log;TrainingTimesLastYear_sqrt;PerformanceRating_sqrt;YearsSinceLastPromotion_sqrt;Department_Human Resources;Department_Research & Development;Department_Sales;EducationField_Human Resources;EducationField_Life Sciences;EducationField_Marketing;EducationField_Medical;EducationField_Other;EducationField_Technical Degree;JobRole_Healthcare Representative;JobRole_Human Resources;JobRole_Laboratory Technician;JobRole_Manager;JobRole_Manufacturing Director;JobRole_Research Director;JobRole_Research Scientist;JobRole_Sales Executive;JobRole_Sales Representative
55.0;0;2;147.0;20.0;2.0;1.0;389.0;2.0;1;37.0;3.0;2.0;4.0;1;15972.0;0;1;19.0;3;4.0;80.0;12.0;3.0;1.3862943611198906;2.0794415416798357;2.1972245773362196;2.3978952727983707;8.59711281459211;0.6931471805599453;2.0;1.7320508075688772;0.0;0;1;0;0;0;0.0;0;0;1;0;0;1;0;0;0.0;0;0;0
31.0;0;2;746.0;8.0;4.0;1.0;98.0;3.0;0;61.0;3.0;2.0;4.0;2;20682.0;0;0;23.0;4;4.0;80.0;11.0;3.0;0.6931471805599453;2.0794415416798357;2.1972245773362196;2.4849066497880004;8.39502555744203;0.0;1.4142135623730951;2.0;1.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;1;0.0;0;0;0
33.0;0;2;217.0;10.0;4.0;1.0;1924.0;2.0;1;43.0;3.0;2.0;3.0;2;10410.0;0;0;14.0;2;2.0;80.0;10.0;2.0;0.6931471805599453;1.6094379124341003;2.302585092994046;2.3978952727983707;8.610319169405722;0.0;1.4142135623730951;1.7320508075688772;0.0;0;0;1;0;0;1.0;0;0;0;0;0;0;0;0;0.0;0;1;0
56.0;0;1;1240.0;9.0;3.0;1.0;1071.0;1.0;0;63.0;3.0;1.0;3.0;1;12154.0;0;0;19.0;3;2.0;80.0;18.0;3.0;1.0986122886681096;1.6094379124341003;1.3862943611198906;1.791759469228055;7.987184748233473;0.6931471805599453;2.0;1.7320508075688772;0.0;0;1;0;0;0;0.0;1;0;0;0;0;0;0;0;0.0;1;0;0
51.0;0;1;1456.0;1.0;4.0;1.0;145.0;1.0;0;30.0;2.0;3.0;1.0;2;25796.0;0;0;20.0;3;3.0;80.0;23.0;2.0;1.3862943611198906;2.5649493574615367;2.1972245773362196;2.639057329615259;8.920656296853728;0.0;1.0;2.0;3.4641016151377544;0;1;0;0;0;0.0;1;0;0;1;0;0;0;0;0.0;0;0;0
42.0;0;1;1474.0;5.0;2.0;1.0;591.0;2.0;1;97.0;3.0;1.0;3.0;1;9260.0;0;0;17.0;2;4.0;80.0;8.0;3.0;1.6094379124341003;1.0986122886681096;0.0;1.0986122886681096;7.646831391430482;0.6931471805599453;2.0;1.7320508075688772;1.4142135623730951;0;1;0;0;0;0.0;0;1;0;0;0;1;0;0;0.0;0;0;0
33.0;0;1;1303.0;7.0;2.0;1.0;1970.0;4.0;1;36.0;3.0;2.0;3.0;0;18079.0;0;0;20.0;3;3.0;80.0;9.0;3.0;0.6931471805599453;2.0794415416798357;2.1972245773362196;2.302585092994046;8.69433468816865;1.3862943611198906;1.4142135623730951;2.0;1.4142135623730951;0;1;0;0;1;0.0;0;0;0;1;0;0;0;0;0.0;0;0;0
53.0;0;2;102.0;23.0;4.0;1.0;901.0;4.0;0;72.0;3.0;4.0;4.0;2;20206.0;0;0;18.0;3;3.0;80.0;32.28;3.0;1.9459101490553132;2.302585092994046;2.1972245773362196;2.5649493574615367;9.566335084610051;0.0;0.0;1.7320508075688772;1.7320508075688772;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;1.0;0;0;0
36.0;1;2;885.0;16.0;4.0;1.0;1042.0;3.0;0;43.0;4.0;1.0;1.0;2;8269.0;0;0;16.0;2;3.0;80.0;18.0;3.0;0.6931471805599453;2.639057329615259;2.70805020110221;2.8903717578961645;7.917171988845776;0.0;1.0;1.7320508075688772;3.5440090293338704;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;0.0;0;0;0
52.0;1;2;1030.0;5.0;3.0;1.0;1319.0;2.0;1;64.0;3.0;3.0;2.0;2;21534.0;0;1;19.0;3;3.0;80.0;10.0;2.0;2.302585092994046;2.0794415416798357;2.0794415416798357;2.1972245773362196;9.041566627727496;0.0;1.4142135623730951;1.7320508075688772;2.6457513110645907;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0
