department;region;education;gender;recruitment_channel;no_of_trainings;age;previous_year_rating;length_of_service;KPIs_met_gt_80;awards_won?;avg_training_score;previous_year_rating_norm;performance_gap;high_training_need;segment;segment_name
Technology;region_26;Bachelor's;m;sourcing;1;24;;1;1;0;77;60.0;17.0;0;3;Top talents
HR;region_4;Bachelor's;f;other;1;31;3.0;5;0;0;51;60.0;-9.0;1;3;Top talents
Sales & Marketing;region_13;Bachelor's;m;other;1;31;1.0;4;0;0;47;20.0;27.0;1;3;Top talents
Finance;region_29;Bachelor's;m;sourcing;1;30;4.0;7;0;0;61;80.0;-19.0;1;0;Besoin élevé en formation
Procurement;region_7;Bachelor's;m;sourcing;1;36;3.0;2;0;0;68;60.0;8.0;1;3;Top talents
Finance;region_2;Bachelor's;m;other;1;33;5.0;3;1;0;57;100.0;-43.0;0;0;Besoin élevé en formation
Technology;region_7;Master's & above;m;other;1;51;4.0;11;0;0;75;80.0;-5.0;1;1;Performants moyens
Technology;region_22;Bachelor's;m;sourcing;1;29;5.0;2;1;0;76;100.0;-24.0;0;0;Besoin élevé en formation
Sales & Marketing;region_17;Master's & above;m;sourcing;1;40;3.0;10;0;0;46;60.0;-14.0;1;1;Performants moyens
Sales & Marketing;region_4;Master's & above;f;other;1;34;3.0;4;0;0;52;60.0;-8.0;1;3;Top talents
Analytics;other_region;Bachelor's;m;other;1;37;3.0;10;0;0;82;60.0;22.0;1;1;Performants moyens
Operations;region_11;Bachelor's;m;sourcing;1;30;5.0;6;1;0;58;100.0;-42.0;0;0;Besoin élevé en formation
Sales & Marketing;region_7;Bachelor's;m;sourcing;1;31;4.0;4;1;0;47;80.0;-33.0;0;0;Besoin élevé en formation
Operations;region_27;Bachelor's;f;sourcing;1;26;5.0;3;0;0;56;100.0;-44.0;1;0;Besoin élevé en formation
Sales & Marketing;region_17;Bachelor's;m;sourcing;1;40;5.0;6;1;0;50;100.0;-50.0;0;0;Besoin élevé en formation
Procurement;region_7;Bachelor's;f;other;1;49;3.0;7;1;0;64;60.0;4.0;0;1;Performants moyens
Procurement;region_27;Bachelor's;m;other;1;27;2.0;5;0;0;65;40.0;25.0;1;3;Top talents
Sales & Marketing;other_region;Master's & above;m;sourcing;1;37;5.0;3;0;0;47;100.0;-53.0;1;0;Besoin élevé en formation
Technology;region_17;Bachelor's;m;sourcing;1;25;;1;0;0;80;60.0;20.0;1;3;Top talents
Technology;region_29;Master's & above;m;sourcing;1;30;1.0;3;0;0;83;20.0;63.0;1;3;Top talents
Procurement;region_4;Master's & above;m;other;1;41;3.0;4;0;0;76;60.0;16.0;1;3;Top talents
Finance;region_20;Bachelor's;f;other;1;29;4.0;6;1;0;58;80.0;-22.0;0;0;Besoin élevé en formation
Operations;region_20;Bachelor's;m;other;1;33;3.0;7;1;1;62;60.0;2.0;0;2;À développer
Sales & Marketing;region_17;Master's & above;m;sourcing;1;34;4.0;6;1;0;50;80.0;-30.0;0;0;Besoin élevé en formation
Analytics;region_13;Bachelor's;m;sourcing;1;34;3.0;3;1;0;87;60.0;27.0;0;3;Top talents
Operations;region_22;Bachelor's;m;other;1;52;1.0;10;0;0;61;20.0;41.0;1;1;Performants moyens
Sales & Marketing;other_region;Bachelor's;m;sourcing;1;30;2.0;3;0;0;50;40.0;10.0;1;3;Top talents
Technology;region_17;Bachelor's;m;other;1;29;;1;1;0;85;60.0;25.0;0;3;Top talents
Sales & Marketing;region_2;Bachelor's;f;sourcing;1;35;3.0;3;1;0;52;60.0;-8.0;0;0;Besoin élevé en formation
Sales & Marketing;region_8;Master's & above;m;other;1;30;3.0;2;1;0;55;60.0;-5.0;0;0;Besoin élevé en formation
Analytics;region_22;Bachelor's;m;other;1;25;;1;0;0;88;60.0;28.0;1;3;Top talents
Analytics;region_26;Bachelor's;m;sourcing;1;26;5.0;4;1;0;90;100.0;-10.0;0;0;Besoin élevé en formation
Sales & Marketing;region_31;Bachelor's;m;other;1;27;2.0;3;0;0;52;40.0;12.0;1;3;Top talents
